ASTEROID_NUMBER,PROVISIONAL_ID,PROPER_A,PROPER_ECC,SINE_PROPER_INCL,FAMILY_NAME,CLUMP_FLAG,CONFIDENCE_LEVEL
2313,---,2.45819,0.1535,0.0482,Polana(nysa),F,3
2314,---,2.26088,0.0684,0.0906,---,-,9
2315,---,3.00980,0.0817,0.1758,Eos,F,3
2316,---,2.45163,0.1492,0.0270,Massalia,F,1
2317,---,2.52403,0.1209,0.0753,---,-,9
2318,---,2.25226,0.1147,0.0635,Flora,F,2
2319,---,2.90591,0.0563,0.0330,Koronis,F,3
2320,---,3.16283,0.1055,0.1825,---,-,9
2321,---,3.00534,0.0448,0.1237,---,-,9
2322,---,2.29242,0.0333,0.0503,---,-,9
2323,---,3.13129,0.1643,0.0855,---,-,9
2324,---,3.08989,0.1897,0.0268,---,-,9
2325,---,3.14297,0.1478,0.0224,Themis,F,3
2326,---,2.86109,0.1304,0.2592,Brasilia,C,0
2327,---,2.36836,0.1036,0.0720,---,-,9
2328,---,2.34171,0.2019,0.1714,---,-,9
2330,---,3.18291,0.0356,0.1360,---,-,9
2331,---,2.42493,0.2487,0.0820,---,-,9
2332,---,3.07249,0.0632,0.2356,---,-,9
2333,---,2.64614,0.1646,0.2010,Adeona,F,3
2334,---,2.26853,0.0990,0.0643,---,-,9
2336,---,3.18767,0.1708,0.0282,Themis,F,3
2337,---,2.59420,0.1642,0.2360,Eunomia,F,3
2338,---,2.83316,0.0492,0.0374,Koronis,F,3
2339,---,2.52644,0.1492,0.0808,---,-,9
2341,---,2.21195,0.1493,0.0565,Flora,F,1
2342,---,3.20341,0.1393,0.0227,Themis,F,3
2343,---,2.33439,0.2187,0.0444,---,-,9
2344,---,2.75408,0.1539,0.0481,---,-,9
2345,---,3.01720,0.0772,0.1758,Eos,F,3
2346,---,2.37121,0.1134,0.1198,Vesta,F,2
2347,---,3.09365,0.1712,0.2524,---,-,9
2348,---,2.39757,0.1990,0.0874,---,-,9
2349,---,2.76960,0.0789,0.2852,---,-,9
2350,---,2.24202,0.1401,0.0859,Flora,F,2
2351,---,2.52997,0.1427,0.0773,---,-,9
2352,---,3.10628,0.0819,0.2718,---,-,9
2353,---,2.80459,0.0891,0.0805,Lydia,F,1
2354,---,2.73073,0.0652,0.0554,Henan,F,3
2355,---,3.02079,0.0869,0.1619,Eos,F,2
2356,---,3.24167,0.0173,0.2707,---,-,9
2358,---,3.02330,0.0670,0.1780,Eos,F,3
2359,---,2.42532,0.1061,0.0845,---,-,9
2360,---,2.67252,0.1624,0.0498,---,-,9
2361,---,3.14347,0.1527,0.0237,Themis,F,3
2362,---,2.19543,0.1433,0.0606,Flora,F,1
2364,---,3.18368,0.1594,0.1699,---,-,9
2365,---,2.54320,0.1511,0.1147,---,-,9
2366,---,2.24066,0.1301,0.0262,---,-,9
2367,---,2.20654,0.1540,0.0416,---,-,9
2369,---,2.78298,0.0517,0.0356,---,-,9
2370,---,2.71396,0.1521,0.1433,---,-,9
2371,---,2.44081,0.0460,0.0449,---,-,9
2372,---,3.11103,0.1592,0.0261,Themis,F,3
2373,---,2.79521,0.1345,0.1603,Ceres,F,3
2374,---,3.08750,0.1954,0.2528,Meliboea,F,3
2375,---,3.18049,0.2187,0.2528,---,-,9
2376,---,3.20310,0.0947,0.0517,---,-,9
2377,---,2.87911,0.0475,0.0373,Koronis,F,3
2378,---,2.88940,0.1365,0.2519,---,-,9
2379,---,3.18124,0.2466,0.0186,---,-,9
2380,---,2.19195,0.0922,0.0307,---,-,9
2381,---,2.61086,0.1558,0.2317,Eunomia,F,3
2383,---,2.21790,0.1473,0.0504,Flora,F,1
2384,---,2.61000,0.1629,0.2299,Eunomia,F,3
2385,---,2.24255,0.1102,0.0688,---,-,9
2386,---,2.81389,0.1363,0.1595,Ceres,F,3
2387,---,3.02277,0.0782,0.1767,Eos,F,3
2388,---,2.45115,0.2065,0.0544,---,-,9
2389,---,2.44358,0.2048,0.1395,---,-,9
2390,---,2.61957,0.1218,0.1870,---,-,9
2391,---,2.44012,0.1433,0.0517,Nysa,F,1
2392,---,2.34449,0.1645,0.0531,Nysa,F,1
2393,---,3.19268,0.1977,0.1963,---,-,9
2394,---,3.18230,0.1916,0.0143,Themis,F,3
2395,---,3.08107,0.0690,0.0156,---,-,9
2396,---,2.79436,0.0951,0.2095,---,-,9
2397,---,3.08885,0.1677,0.1691,---,-,9
2398,---,2.39162,0.2539,0.0474,---,-,9
2399,---,2.23974,0.1228,0.0835,Flora,F,2
2400,---,3.00165,0.0824,0.1764,Eos,F,3
2401,---,2.77034,0.0665,0.0635,Liberatrix,F,3
2402,---,2.22211,0.1234,0.0882,Flora,F,2
2403,---,2.54711,0.0979,0.0730,---,-,9
2404,---,3.12711,0.1472,0.0266,Themis,F,3
2405,---,3.19490,0.1580,0.0226,Themis,F,3
2406,---,2.19261,0.1135,0.0296,---,-,9
2407,---,2.92323,0.1849,0.0540,---,-,9
2409,---,2.26606,0.1442,0.0540,---,-,9
2410,---,2.21558,0.1125,0.0400,---,-,9
2411,---,2.22548,0.0889,0.0253,---,-,9
2412,---,2.67972,0.1708,0.1392,---,-,9
2413,---,3.01693,0.0908,0.1810,Eos,F,3
2414,---,3.20924,0.0964,0.2918,Tunica,C,0
2415,---,2.65951,0.0457,0.0227,---,-,9
2416,---,3.01336,0.0679,0.1717,Eos,F,3
2417,---,3.19426,0.2151,0.0333,---,-,9
2418,---,3.11731,0.1510,0.0254,Themis,F,3
2419,---,2.29608,0.1046,0.1147,Vesta,F,1
2420,---,2.56083,0.1194,0.2568,Faina,C,0
2421,---,3.23089,0.0477,0.1575,---,-,9
2422,---,2.32885,0.2305,0.1054,---,-,9
2423,---,2.18851,0.2136,0.0837,---,-,9
2424,---,2.34969,0.1728,0.1498,---,-,9
2425,---,3.00124,0.0880,0.1755,Eos,F,3
2426,---,2.91037,0.1469,0.1596,---,-,9
2427,---,2.74057,0.1348,0.0850,Merxia,F,3
2428,---,3.17068,0.0620,0.1617,Veritas,F,3
2429,---,2.57189,0.0880,0.2540,Maria,F,3
2431,---,2.64603,0.2609,0.0618,---,-,9
2432,---,2.35141,0.1296,0.1159,---,-,9
2433,---,2.60754,0.2236,0.1862,---,-,9
2434,---,3.08527,0.1327,0.2710,---,-,9
2435,---,2.20325,0.1454,0.0654,Flora,F,1
2436,---,3.16947,0.1380,0.0892,Hygiea,F,3
2437,---,2.18873,0.1096,0.0622,---,-,9
2438,---,2.24396,0.1389,0.0730,Flora,F,2
2439,---,3.13051,0.1584,0.0161,Themis,F,3
2440,---,2.21566,0.1114,0.0831,Flora,F,1
2441,---,2.40915,0.1556,0.0547,Polana(nysa),F,2
2442,---,2.38769,0.0971,0.0945,---,-,9
2443,---,3.00668,0.0892,0.1813,Eos,F,3
2444,---,2.72829,0.1450,0.2723,---,-,9
2445,---,2.26899,0.1564,0.0913,Flora,F,2
2446,---,2.35475,0.1539,0.0553,Nysa,F,1
2447,---,2.53925,0.2093,0.1353,---,-,9
2448,---,2.79165,0.1449,0.2924,---,-,9
2450,---,3.11512,0.1440,0.0253,Themis,F,3
2451,---,2.72468,0.1522,0.1606,---,-,9
2452,---,3.15667,0.1554,0.2028,---,-,9
2453,---,3.01948,0.0814,0.1763,Eos,F,3
2454,---,2.25188,0.1488,0.0987,Flora,F,2
2455,---,2.72789,0.0656,0.1477,---,-,9
2457,---,2.64005,0.1198,0.0980,---,-,9
2458,---,3.13427,0.1230,0.0207,Themis,F,1
2459,---,3.02088,0.0629,0.1786,Eos,F,3
2460,---,2.25723,0.1523,0.0700,Reginita(flora),F,3
2461,---,3.17588,0.1487,0.0240,Themis,F,3
2462,---,2.40898,0.1770,0.0366,Nysa,F,2
2463,---,2.60035,0.1544,0.2379,Eunomia,F,3
2464,---,3.16697,0.2077,0.0259,Themis,F,1
2465,---,2.75302,0.0716,0.0860,Lydia,F,1
2466,---,2.63746,0.1141,0.0809,---,-,9
2467,---,2.21338,0.0986,0.1046,---,-,9
2468,---,2.32664,0.1158,0.1121,Vesta,F,1
2469,---,3.11243,0.1287,0.1579,---,-,9
2470,---,2.88795,0.0464,0.0355,Koronis,F,3
2471,---,2.99823,0.0806,0.1788,Eos,F,3
