asteroid number,asteroid name,wavelength,reflectance,uncertainty
192,nausikaa,2.1668,1.01912,0.00359
192,nausikaa,2.1700,1.01919,0.00362
192,nausikaa,2.1731,1.01339,0.00358
192,nausikaa,2.1763,1.01451,0.00360
192,nausikaa,2.1794,1.00453,0.00356
192,nausikaa,2.1826,1.01535,0.00361
192,nausikaa,2.1857,1.00745,0.00357
192,nausikaa,2.1888,1.01049,0.00362
192,nausikaa,2.1919,1.00962,0.00356
192,nausikaa,2.1951,1.01753,0.00364
192,nausikaa,2.1982,1.01895,0.00366
192,nausikaa,2.2013,1.02406,0.00373
192,nausikaa,2.2044,1.01202,0.00372
192,nausikaa,2.2075,1.01304,0.00374
192,nausikaa,2.2106,1.01696,0.00370
192,nausikaa,2.2137,1.01116,0.00373
192,nausikaa,2.2168,1.01800,0.00373
192,nausikaa,2.2198,1.01602,0.00374
192,nausikaa,2.2229,1.02269,0.00377
192,nausikaa,2.2260,1.03777,0.00382
192,nausikaa,2.2290,1.03982,0.00383
192,nausikaa,2.2321,1.04218,0.00392
192,nausikaa,2.2352,1.02462,0.00384
192,nausikaa,2.2382,1.02413,0.00387
192,nausikaa,2.2412,1.01542,0.00385
192,nausikaa,2.2443,1.03085,0.00401
192,nausikaa,2.2473,1.03026,0.00395
192,nausikaa,2.2504,1.03726,0.00398
192,nausikaa,2.2534,1.03335,0.00402
192,nausikaa,2.2564,1.03437,0.00406
192,nausikaa,2.2594,1.03348,0.00406
192,nausikaa,2.2624,1.02306,0.00407
192,nausikaa,2.2654,1.01786,0.00405
192,nausikaa,2.2684,1.02543,0.00411
192,nausikaa,2.2714,1.03045,0.00413
192,nausikaa,2.2744,1.03384,0.00416
192,nausikaa,2.2774,1.03415,0.00419
192,nausikaa,2.2803,1.02064,0.00421
192,nausikaa,2.2833,1.01604,0.00418
192,nausikaa,2.2863,1.03235,0.00425
192,nausikaa,2.2893,1.04770,0.00428
192,nausikaa,2.2922,1.03621,0.00431
192,nausikaa,2.2952,1.03152,0.00432
192,nausikaa,2.2981,1.03497,0.00448
192,nausikaa,2.3010,1.02819,0.00437
192,nausikaa,2.3040,1.02116,0.00440
192,nausikaa,2.3069,1.03131,0.00437
192,nausikaa,2.3098,1.04448,0.00442
192,nausikaa,2.3127,1.04305,0.00438
192,nausikaa,2.3157,1.05308,0.00450
192,nausikaa,2.3186,1.03673,0.00447
192,nausikaa,2.3215,1.03492,0.00452
192,nausikaa,2.3244,1.04888,0.00461
192,nausikaa,2.3273,1.03833,0.00459
192,nausikaa,2.3302,1.03782,0.00451
192,nausikaa,2.3331,1.04449,0.00456
192,nausikaa,2.3359,1.04207,0.00454
192,nausikaa,2.3388,1.04089,0.00461
192,nausikaa,2.3417,1.03976,0.00464
192,nausikaa,2.3445,1.05743,0.00475
192,nausikaa,2.3474,1.05045,0.00481
192,nausikaa,2.3503,1.03484,0.00512
192,nausikaa,2.3531,1.02420,0.00476
192,nausikaa,2.3559,1.02543,0.00483
192,nausikaa,2.3588,1.03983,0.00482
192,nausikaa,2.3616,1.05077,0.00489
192,nausikaa,2.3645,1.04809,0.00484
192,nausikaa,2.3673,1.05960,0.00492
192,nausikaa,2.3701,1.05042,0.00499
192,nausikaa,2.3729,1.05260,0.00511
192,nausikaa,2.3758,1.05918,0.00512
